개념라벨,판정,큐레이션질의,규칙,폴더예시,코호트
Percent Time in Stage 1,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent Time in Stage 2,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent Time in Stage 3/4,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent Time non-supine,신규클래스,supine body position|body position,psg-position,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent Time supine,신규클래스,supine body position|body position,psg-position,Measurements/Polysomnography/Sleep Architecture,SHHS
Percent total sleep duration with below 90% oxygen saturation from type II polysomnography,신규클래스,hypoxemia,psg-t90,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Oxygen Saturation Metrics,MESA
"Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography",신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Harmonized/Polysomnography/Sleep Architecture,MESA
"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography",신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Harmonized/Polysomnography/Sleep Architecture,MESA
"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography",신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Harmonized/Polysomnography/Sleep Architecture,MESA
"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography",신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Harmonized/Polysomnography/Sleep Architecture,MESA
Percentage of total sleep duration in non-supine position from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Percentage of total sleep duration in REM from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Percentage of total sleep duration in Stage 1 from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Percentage of total sleep duration in Stage 2 from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Percentage of total sleep duration in Stage 3 and 4 from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Percentage of total sleep duration in supine position from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Polysomnography (PSG) Report: Sleep Efficiency,재질의,sleep efficiency|sleep quality,psg-eff,Measurements/Polysomnography/Sleep Architecture,SHHS
Polysomnography (PSG) Report: Sleep Latency,재질의,sleep latency|sleep onset,psg-latency,Measurements/Polysomnography/Sleep Architecture,SHHS
