개념라벨,판정,매핑유형,최종ID,최종라벨,출처,결정근거,후보순위
Obstructive Apnea-Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Overall instability (NREM),신규클래스,관련(광의),MONDO:0004731,central sleep apnea syndrome,mondo,큐레이션질의-1순위,1
Percent total sleep duration with below 90% oxygen saturation from type II polysomnography,신규클래스,관련(광의),SNOMED:389087006,Hypoxemia (disorder),snomed,정확일치,1
Arousal Index (NREM): Number of arousals per hour of NREM sleep from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousal Index (NREM, Non-Supine): Number of arousals per hour of NREM sleep in non-supine position from type II polysomnography",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousal Index (NREM, Supine): Number of arousals per hour of NREM sleep in supine position from type II polysomnography",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Arousal Index (REM): Number of arousals per hour of REM sleep from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousal Index (REM, Non-Supine): Number of arousals per hour of REM sleep in non-supine position from type II polysomnography",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousal Index (REM, Supine): Number of arousals per hour of REM sleep in supine position from type II polysomnography",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Arousal Index: Number of arousals per hour of sleep from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Total number of arousals during NREM sleep in non-supine position from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Total number of arousals during NREM sleep in supine position from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Total number of arousals during REM sleep in non-supine position from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Total number of arousals during REM sleep in supine position from type II polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Percentage of total sleep duration in REM from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percentage of total sleep duration in Stage 1 from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percentage of total sleep duration in Stage 2 from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percentage of total sleep duration in Stage 3 and 4 from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percentage of total sleep duration in non-supine position from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Percentage of total sleep duration in supine position from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
REM Latency II: the interval between sleep onset and first REM while asleep (excluding wake) from type II polysomnography,신규클래스,관련(광의),OBA:2040172,sleep latency,efo,정확일치,1
Sleep Maintenance Efficiency: the proportion of sleep duration in sleep period from type II polysomnography,신규클래스,관련(광의),EFO:0803364,sleep efficiency,efo,정확일치,1
Total In-bed Period: the interval between lights out/in-bed time and lights off/out-bed time from type II polysomnography,신규클래스,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Total duration of REM sleep from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Total duration of Stage 1 sleep from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Total duration of Stage 2 sleep from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Total duration of Stage 3 and 4 sleep from type II polysomnography,신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
Body mass index,자동매핑후보,등가,SNOMED:60621009,Body mass index,snomed,정확일치,1
Height (cm),자동매핑후보,등가,PATO:0000119,height,hp,정확일치,1
Weight (lbs),자동매핑후보,등가,SNOMED:726527001,Weight,snomed,정확일치,1
Days to First Congestive Heart Failure (CHF) Since Baseline,자동매핑후보,등가,SNOMED:42343007,Congestive heart failure,snomed,정확일치,1
Days to First Percutaneous transluminal coronary angioplasty (PTCA) Since Baseline,자동매핑후보,등가,EFO:0003951,percutaneous transluminal coronary angioplasty,efo,정확일치,1
Days to First Stroke Since Baseline,자동매핑후보,등가,HP:0001297,Stroke,hp,정확일치,1
Days to First coronary artery bypass graft surgery (CABG) Since Baseline,자동매핑후보,등가,EFO:0003776,coronary artery bypass,efo,포함일치,1
Days to First myocardial infarction (MI) Since Baseline,자동매핑후보,등가,MONDO:0005068,myocardial infarction,mondo,정확일치,1
Number of coronary artery bypass graft surgeries (CABGs) Since Baseline,자동매핑후보,등가,EFO:0003776,coronary artery bypass,efo,포함일치,1
Number of myocardial infarctions (MIs) Since Baseline,자동매핑후보,등가,MONDO:0005068,myocardial infarction,mondo,포함일치,3
Age at Sleep Heart Health Study Visit One,자동매핑후보,등가,SNOMED:397669002,Age,snomed,정확일치,1
Age at Sleep Heart Health Study Visit Two,자동매핑후보,등가,SNOMED:397669002,Age,snomed,정확일치,1
Gender,자동매핑후보,등가,SNOMED:263495000,Gender,snomed,정확일치,1
Marital Status,자동매핑후보,등가,SNOMED:125680007,Marital status,snomed,정확일치,1
Race,자동매핑후보,등가,SNOMED:103579009,Race,snomed,정확일치,1
"Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography",자동매핑후보,등가,EFO:0803364,sleep efficiency,efo,정확일치,1
Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography,자동매핑후보,등가,OBA:2040172,sleep latency,efo,정확일치,1
Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography,자동매핑후보,등가,EFO:0803363,wake after sleep onset,efo,정확일치,1
Body mass index (BMI),자동매핑후보,등가,SNOMED:60621009,Body mass index,snomed,정확일치,1
Height,자동매핑후보,등가,PATO:0000119,height,hp,정확일치,1
Hip Circumference,자동매핑후보,등가,SNOMED:284472007,Hip circumference,snomed,정확일치,1
Neck Circumference,자동매핑후보,등가,SNOMED:420236003,Neck circumference,snomed,정확일치,1
